district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ,city
Söke,275,89117,78860,77299,21089,5675,165,268,10181,27732,443,11053,488,205,0,Aydın
Sultanhisar,53,15486,14071,13692,4678,1100,36,42,1009,4256,75,2359,93,44,0,Aydın
Yenipazar,40,10084,9276,8984,3823,582,26,30,126,2710,60,1543,61,23,0,Aydın
Buharkent,32,9523,8758,8417,3143,615,47,42,361,2473,91,1560,49,36,0,Aydın
İncirliova,109,36199,30938,30209,11065,3094,49,83,2197,9403,220,3785,247,66,0,Aydın
Karpuzlu,36,9111,8193,7818,3778,895,42,27,62,1886,54,982,75,17,0,Aydın
Köşk,68,20186,18543,18002,9391,2200,54,43,1249,2474,142,2226,191,32,0,Aydın
Didim,184,65215,56722,55841,11725,3244,88,215,9846,23982,256,6010,289,186,0,Aydın
Efeler,606,209128,186638,183395,55882,15744,320,481,18025,59674,1337,29850,1439,643,0,Aydın
Akkuş,82,17609,14468,13678,7694,2580,86,135,100,1782,127,811,340,23,0,Ordu
Aybastı,63,16842,13871,13242,7510,2108,61,88,125,1987,168,908,259,28,0,Ordu
Fatsa,279,85661,73892,72059,33930,11242,150,210,874,17188,808,6603,922,132,0,Ordu
Gölköy,78,22224,18324,17354,6992,3506,81,109,99,4414,156,1577,371,49,0,Ordu
Korgan,73,21196,18966,18376,11101,3906,55,91,60,1727,237,843,331,25,0,Ordu
Kumru,81,22297,19816,19152,11848,4222,46,75,102,1459,168,821,390,21,0,Ordu
Mesudiye,81,13116,10692,10331,5521,1329,30,44,51,1940,75,1116,197,28,0,Ordu
Perşembe,113,25639,22349,21517,8358,2492,99,124,309,6918,141,2753,245,78,0,Ordu
Ulubey,64,14579,12672,12236,5695,2023,35,56,57,3327,91,740,194,18,0,Ordu
Ünye,358,92232,81175,78980,43785,13028,193,256,687,11970,1420,6129,1337,175,0,Ordu
Gülyalı,24,6761,6088,5900,2491,658,16,18,42,1883,66,630,82,14,0,Ordu
Gürgentepe,40,11058,9615,9260,3001,1600,29,34,105,3850,67,353,188,33,0,Ordu
Çamaş,29,6868,6009,5810,2667,1296,20,18,27,1073,99,488,114,8,0,Ordu
Çatalpınar,38,9895,8712,8498,4924,2417,17,30,20,612,69,226,178,5,0,Ordu
Çaybaşı,43,9537,8349,8079,4773,1863,34,33,22,576,62,549,158,9,0,Ordu
İkizce,52,10806,9408,9022,4773,1580,58,48,38,1349,99,954,113,10,0,Ordu
Kabadüz,26,6204,5408,5245,2759,855,18,20,24,910,37,503,109,10,0,Ordu
Kabataş,29,8254,7168,6853,3626,1475,33,49,50,716,71,656,169,8,0,Ordu
Altınordu,462,157206,137263,134557,51996,20411,183,307,1477,43243,1421,13501,1643,375,0,Ordu
