age,male,female,all,city,district
65-69,86,108,194,Kastamonu,Ağlı
70-74,82,102,184,Kastamonu,Ağlı
75+,117,218,335,Kastamonu,Ağlı
18-24,1092,815,1907,Şırnak,Güçlükonak
25-29,757,484,1241,Şırnak,Güçlükonak
30-34,348,332,680,Şırnak,Güçlükonak
35-39,270,285,555,Şırnak,Güçlükonak
40-44,188,217,405,Şırnak,Güçlükonak
45-49,154,136,290,Şırnak,Güçlükonak
50-54,128,157,285,Şırnak,Güçlükonak
55-59,123,105,228,Şırnak,Güçlükonak
60-64,131,117,248,Şırnak,Güçlükonak
65-69,91,100,191,Şırnak,Güçlükonak
70-74,47,66,113,Şırnak,Güçlükonak
75+,89,131,220,Şırnak,Güçlükonak
18-24,1710,1672,3382,Balıkesir,Dursunbey
25-29,853,872,1725,Balıkesir,Dursunbey
30-34,933,910,1843,Balıkesir,Dursunbey
35-39,1034,1146,2180,Balıkesir,Dursunbey
40-44,1200,1203,2403,Balıkesir,Dursunbey
45-49,1195,1212,2407,Balıkesir,Dursunbey
50-54,1299,1380,2679,Balıkesir,Dursunbey
55-59,1281,1330,2611,Balıkesir,Dursunbey
60-64,1277,1381,2658,Balıkesir,Dursunbey
65-69,1028,1265,2293,Balıkesir,Dursunbey
70-74,866,1027,1893,Balıkesir,Dursunbey
75+,1224,1661,2885,Balıkesir,Dursunbey
18-24,1437,1390,2827,Kars,Selim
25-29,755,758,1513,Kars,Selim
30-34,744,665,1409,Kars,Selim
35-39,805,768,1573,Kars,Selim
40-44,709,612,1321,Kars,Selim
45-49,704,575,1279,Kars,Selim
50-54,608,532,1140,Kars,Selim
55-59,502,467,969,Kars,Selim
60-64,411,452,863,Kars,Selim
65-69,339,378,717,Kars,Selim
70-74,327,370,697,Kars,Selim
75+,411,475,886,Kars,Selim
18-24,235,246,481,Isparta,Atabey
25-29,151,155,306,Isparta,Atabey
30-34,197,137,334,Isparta,Atabey
35-39,178,169,347,Isparta,Atabey
40-44,152,166,318,Isparta,Atabey
45-49,180,193,373,Isparta,Atabey
50-54,173,173,346,Isparta,Atabey
55-59,202,224,426,Isparta,Atabey
60-64,188,186,374,Isparta,Atabey
65-69,134,162,296,Isparta,Atabey
70-74,72,95,167,Isparta,Atabey
75+,159,282,441,Isparta,Atabey
18-24,171,185,356,Eskişehir,Sarıcakaya
25-29,91,110,201,Eskişehir,Sarıcakaya
30-34,120,111,231,Eskişehir,Sarıcakaya
35-39,152,141,293,Eskişehir,Sarıcakaya
40-44,145,157,302,Eskişehir,Sarıcakaya
45-49,172,147,319,Eskişehir,Sarıcakaya
50-54,165,185,350,Eskişehir,Sarıcakaya
55-59,218,242,460,Eskişehir,Sarıcakaya
60-64,184,202,386,Eskişehir,Sarıcakaya
65-69,191,186,377,Eskişehir,Sarıcakaya
70-74,111,130,241,Eskişehir,Sarıcakaya
75+,222,322,544,Eskişehir,Sarıcakaya
18-24,14940,14698,29638,Antalya,Alanya
25-29,10269,9757,20026,Antalya,Alanya
30-34,11605,10805,22410,Antalya,Alanya
35-39,12939,12102,25041,Antalya,Alanya
40-44,12247,11601,23848,Antalya,Alanya
45-49,11145,10062,21207,Antalya,Alanya
50-54,9282,8404,17686,Antalya,Alanya
