age,male,female,all,city,district
40-44,605,567,1172,Denizli,Çameli
45-49,677,650,1327,Denizli,Çameli
50-54,706,726,1432,Denizli,Çameli
55-59,685,714,1399,Denizli,Çameli
60-64,673,683,1356,Denizli,Çameli
65-69,517,538,1055,Denizli,Çameli
70-74,356,485,841,Denizli,Çameli
75+,804,916,1720,Denizli,Çameli
18-24,1705,1846,3551,Balıkesir,Susurluk
25-29,1208,1072,2280,Balıkesir,Susurluk
30-34,1165,1078,2243,Balıkesir,Susurluk
35-39,1333,1273,2606,Balıkesir,Susurluk
40-44,1321,1347,2668,Balıkesir,Susurluk
45-49,1399,1485,2884,Balıkesir,Susurluk
50-54,1496,1513,3009,Balıkesir,Susurluk
55-59,1481,1481,2962,Balıkesir,Susurluk
60-64,1228,1382,2610,Balıkesir,Susurluk
65-69,1042,1042,2084,Balıkesir,Susurluk
70-74,660,848,1508,Balıkesir,Susurluk
75+,1076,1715,2791,Balıkesir,Susurluk
18-24,2935,3119,6054,Konya,Karapınar
25-29,1689,1618,3307,Konya,Karapınar
30-34,1780,1623,3403,Konya,Karapınar
35-39,1782,1628,3410,Konya,Karapınar
40-44,1597,1544,3141,Konya,Karapınar
45-49,1543,1523,3066,Konya,Karapınar
50-54,1408,1443,2851,Konya,Karapınar
55-59,1101,1160,2261,Konya,Karapınar
60-64,947,1079,2026,Konya,Karapınar
65-69,702,858,1560,Konya,Karapınar
70-74,452,616,1068,Konya,Karapınar
75+,627,994,1621,Konya,Karapınar
18-24,611,724,1335,Niğde,Altunhisar
25-29,440,371,811,Niğde,Altunhisar
30-34,376,369,745,Niğde,Altunhisar
35-39,378,348,726,Niğde,Altunhisar
40-44,308,313,621,Niğde,Altunhisar
45-49,329,305,634,Niğde,Altunhisar
50-54,336,392,728,Niğde,Altunhisar
55-59,298,313,611,Niğde,Altunhisar
60-64,254,315,569,Niğde,Altunhisar
65-69,266,327,593,Niğde,Altunhisar
70-74,191,293,484,Niğde,Altunhisar
75+,346,594,940,Niğde,Altunhisar
18-24,1935,2079,4014,Mardin,Dargeçit
25-29,1206,1191,2397,Mardin,Dargeçit
30-34,789,832,1621,Mardin,Dargeçit
35-39,767,851,1618,Mardin,Dargeçit
40-44,538,737,1275,Mardin,Dargeçit
45-49,392,481,873,Mardin,Dargeçit
50-54,368,386,754,Mardin,Dargeçit
55-59,279,259,538,Mardin,Dargeçit
60-64,284,327,611,Mardin,Dargeçit
65-69,301,410,711,Mardin,Dargeçit
70-74,223,255,478,Mardin,Dargeçit
75+,323,477,800,Mardin,Dargeçit
18-24,3628,3583,7211,Antalya,Kumluca
25-29,2468,2442,4910,Antalya,Kumluca
30-34,2442,2581,5023,Antalya,Kumluca
35-39,2750,2837,5587,Antalya,Kumluca
40-44,2736,2670,5406,Antalya,Kumluca
45-49,2655,2586,5241,Antalya,Kumluca
50-54,2405,2096,4501,Antalya,Kumluca
55-59,2094,1939,4033,Antalya,Kumluca
60-64,1504,1448,2952,Antalya,Kumluca
65-69,1030,942,1972,Antalya,Kumluca
70-74,637,720,1357,Antalya,Kumluca
75+,1051,1305,2356,Antalya,Kumluca
18-24,536,537,1073,Çankırı,Ilgaz
25-29,375,329,704,Çankırı,Ilgaz
30-34,336,341,677,Çankırı,Ilgaz
35-39,417,337,754,Çankırı,Ilgaz
40-44,353,359,712,Çankırı,Ilgaz
45-49,405,361,766,Çankırı,Ilgaz
50-54,428,395,823,Çankırı,Ilgaz
55-59,540,581,1121,Çankırı,Ilgaz
60-64,612,629,1241,Çankırı,Ilgaz
65-69,548,601,1149,Çankırı,Ilgaz
70-74,385,468,853,Çankırı,Ilgaz
75+,664,901,1565,Çankırı,Ilgaz
18-24,1053,1074,2127,Çanakkale,Bayramiç
25-29,736,724,1460,Çanakkale,Bayramiç
30-34,887,844,1731,Çanakkale,Bayramiç
35-39,1022,996,2018,Çanakkale,Bayramiç
40-44,1007,941,1948,Çanakkale,Bayramiç
45-49,1021,1063,2084,Çanakkale,Bayramiç
50-54,1130,1098,2228,Çanakkale,Bayramiç
55-59,1108,1177,2285,Çanakkale,Bayramiç
60-64,1050,1093,2143,Çanakkale,Bayramiç
65-69,923,919,1842,Çanakkale,Bayramiç
70-74,617,782,1399,Çanakkale,Bayramiç
75+,1077,1459,2536,Çanakkale,Bayramiç
18-24,711,733,1444,Sakarya,Söğütlü
25-29,485,423,908,Sakarya,Söğütlü
30-34,516,446,962,Sakarya,Söğütlü
35-39,488,428,916,Sakarya,Söğütlü
40-44,489,403,892,Sakarya,Söğütlü
45-49,431,469,900,Sakarya,Söğütlü
50-54,456,477,933,Sakarya,Söğütlü
55-59,502,493,995,Sakarya,Söğütlü
60-64,378,429,807,Sakarya,Söğütlü
65-69,369,395,764,Sakarya,Söğütlü
70-74,242,249,491,Sakarya,Söğütlü
75+,368,502,870,Sakarya,Söğütlü
18-24,554,550,1104,Karabük,Eskipazar
25-29,348,293,641,Karabük,Eskipazar
30-34,363,262,625,Karabük,Eskipazar
35-39,349,314,663,Karabük,Eskipazar
40-44,312,286,598,Karabük,Eskipazar
45-49,389,375,764,Karabük,Eskipazar
50-54,432,449,881,Karabük,Eskipazar
55-59,460,492,952,Karabük,Eskipazar
60-64,498,483,981,Karabük,Eskipazar
65-69,410,447,857,Karabük,Eskipazar
70-74,292,389,681,Karabük,Eskipazar
75+,517,702,1219,Karabük,Eskipazar
18-24,15694,16182,31876,İstanbul,Zeytinburnu
25-29,11578,10811,22389,İstanbul,Zeytinburnu
30-34,11000,10670,21670,İstanbul,Zeytinburnu
35-39,11409,11126,22535,İstanbul,Zeytinburnu
40-44,10350,9855,20205,İstanbul,Zeytinburnu
45-49,9536,9095,18631,İstanbul,Zeytinburnu
50-54,8040,7764,15804,İstanbul,Zeytinburnu
55-59,6668,6323,12991,İstanbul,Zeytinburnu
60-64,4912,4969,9881,İstanbul,Zeytinburnu
65-69,3119,3404,6523,İstanbul,Zeytinburnu
70-74,1667,2177,3844,İstanbul,Zeytinburnu
75+,2043,3404,5447,İstanbul,Zeytinburnu
18-24,208,152,360,Bingöl,Yedisu
25-29,167,98,265,Bingöl,Yedisu
30-34,114,82,196,Bingöl,Yedisu
35-39,121,95,216,Bingöl,Yedisu
40-44,123,88,211,Bingöl,Yedisu
45-49,94,95,189,Bingöl,Yedisu
50-54,79,67,146,Bingöl,Yedisu
55-59,72,67,139,Bingöl,Yedisu
60-64,64,67,131,Bingöl,Yedisu
65-69,69,71,140,Bingöl,Yedisu
70-74,32,33,65,Bingöl,Yedisu
75+,56,71,127,Bingöl,Yedisu
18-24,669,612,1281,Aksaray,Güzelyurt
25-29,424,322,746,Aksaray,Güzelyurt
30-34,368,289,657,Aksaray,Güzelyurt
35-39,391,331,722,Aksaray,Güzelyurt
40-44,362,345,707,Aksaray,Güzelyurt
45-49,298,355,653,Aksaray,Güzelyurt
50-54,353,322,675,Aksaray,Güzelyurt
55-59,288,313,601,Aksaray,Güzelyurt
60-64,260,295,555,Aksaray,Güzelyurt
65-69,281,318,599,Aksaray,Güzelyurt
70-74,179,212,391,Aksaray,Güzelyurt
75+,272,381,653,Aksaray,Güzelyurt
18-24,7109,7434,14543,Aydın,Nazilli
25-29,5084,4971,10055,Aydın,Nazilli
30-34,5321,5261,10582,Aydın,Nazilli
35-39,5733,5845,11578,Aydın,Nazilli
40-44,5230,5342,10572,Aydın,Nazilli
45-49,4936,5185,10121,Aydın,Nazilli
50-54,4716,4816,9532,Aydın,Nazilli
55-59,4691,4972,9663,Aydın,Nazilli
60-64,4280,4548,8828,Aydın,Nazilli
65-69,3225,3407,6632,Aydın,Nazilli
70-74,2061,2632,4693,Aydın,Nazilli
75+,2893,4535,7428,Aydın,Nazilli
18-24,553,461,1014,Isparta,Keçiborlu
25-29,344,327,671,Isparta,Keçiborlu
30-34,400,379,779,Isparta,Keçiborlu
35-39,490,421,911,Isparta,Keçiborlu
40-44,442,423,865,Isparta,Keçiborlu
45-49,383,406,789,Isparta,Keçiborlu
50-54,455,497,952,Isparta,Keçiborlu
55-59,545,638,1183,Isparta,Keçiborlu
60-64,476,565,1041,Isparta,Keçiborlu
65-69,504,556,1060,Isparta,Keçiborlu
70-74,308,354,662,Isparta,Keçiborlu
75+,495,743,1238,Isparta,Keçiborlu
18-24,20561,21085,41646,İstanbul,Ataşehir
25-29,15940,16632,32572,İstanbul,Ataşehir
30-34,17655,18402,36057,İstanbul,Ataşehir
35-39,19467,19980,39447,İstanbul,Ataşehir
40-44,17425,18236,35661,İstanbul,Ataşehir
45-49,15334,15683,31017,İstanbul,Ataşehir
50-54,13124,12828,25952,İstanbul,Ataşehir
55-59,10250,10105,20355,İstanbul,Ataşehir
60-64,7813,7995,15808,İstanbul,Ataşehir
65-69,5265,5836,11101,İstanbul,Ataşehir
70-74,3244,3989,7233,İstanbul,Ataşehir
75+,3747,5850,9597,İstanbul,Ataşehir
18-24,452,363,815,Elazığ,Alacakaya
25-29,267,197,464,Elazığ,Alacakaya
30-34,228,179,407,Elazığ,Alacakaya
35-39,225,207,432,Elazığ,Alacakaya
40-44,195,218,413,Elazığ,Alacakaya
45-49,236,202,438,Elazığ,Alacakaya
50-54,198,183,381,Elazığ,Alacakaya
55-59,153,190,343,Elazığ,Alacakaya
60-64,151,141,292,Elazığ,Alacakaya
65-69,106,105,211,Elazığ,Alacakaya
70-74,61,101,162,Elazığ,Alacakaya
75+,151,193,344,Elazığ,Alacakaya
18-24,3853,3879,7732,Şanlıurfa,Bozova
25-29,2139,2083,4222,Şanlıurfa,Bozova
30-34,1709,1645,3354,Şanlıurfa,Bozova
35-39,1432,1512,2944,Şanlıurfa,Bozova
40-44,1270,1396,2666,Şanlıurfa,Bozova
45-49,1129,978,2107,Şanlıurfa,Bozova
50-54,1050,1071,2121,Şanlıurfa,Bozova
55-59,745,842,1587,Şanlıurfa,Bozova
60-64,660,700,1360,Şanlıurfa,Bozova
65-69,543,727,1270,Şanlıurfa,Bozova
70-74,421,580,1001,Şanlıurfa,Bozova
75+,588,1096,1684,Şanlıurfa,Bozova
18-24,404,356,760,Balıkesir,Marmara
25-29,373,316,689,Balıkesir,Marmara
30-34,323,277,600,Balıkesir,Marmara
35-39,365,259,624,Balıkesir,Marmara
40-44,337,307,644,Balıkesir,Marmara
45-49,358,280,638,Balıkesir,Marmara
50-54,340,338,678,Balıkesir,Marmara
55-59,401,359,760,Balıkesir,Marmara
60-64,373,368,741,Balıkesir,Marmara
65-69,310,279,589,Balıkesir,Marmara
70-74,255,238,493,Balıkesir,Marmara
75+,329,335,664,Balıkesir,Marmara
18-24,365,353,718,Çanakkale,Gökçeada
25-29,337,280,617,Çanakkale,Gökçeada
30-34,329,319,648,Çanakkale,Gökçeada
35-39,354,339,693,Çanakkale,Gökçeada
40-44,345,263,608,Çanakkale,Gökçeada
45-49,263,209,472,Çanakkale,Gökçeada
50-54,219,212,431,Çanakkale,Gökçeada
55-59,227,218,445,Çanakkale,Gökçeada
60-64,225,219,444,Çanakkale,Gökçeada
65-69,179,191,370,Çanakkale,Gökçeada
70-74,121,132,253,Çanakkale,Gökçeada
75+,195,209,404,Çanakkale,Gökçeada
18-24,2097,2201,4298,Sakarya,Sapanca
25-29,1427,1453,2880,Sakarya,Sapanca
30-34,1446,1473,2919,Sakarya,Sapanca
35-39,1540,1535,3075,Sakarya,Sapanca
40-44,1482,1491,2973,Sakarya,Sapanca
45-49,1381,1429,2810,Sakarya,Sapanca
50-54,1298,1230,2528,Sakarya,Sapanca
55-59,1150,1201,2351,Sakarya,Sapanca
60-64,988,969,1957,Sakarya,Sapanca
65-69,718,716,1434,Sakarya,Sapanca
70-74,507,509,1016,Sakarya,Sapanca
75+,556,810,1366,Sakarya,Sapanca
18-24,1393,1262,2655,Adıyaman,Gerger
25-29,640,523,1163,Adıyaman,Gerger
30-34,477,477,954,Adıyaman,Gerger
35-39,462,445,907,Adıyaman,Gerger
40-44,335,399,734,Adıyaman,Gerger
45-49,381,369,750,Adıyaman,Gerger
50-54,312,349,661,Adıyaman,Gerger
55-59,314,352,666,Adıyaman,Gerger
60-64,282,353,635,Adıyaman,Gerger
65-69,286,420,706,Adıyaman,Gerger
70-74,269,311,580,Adıyaman,Gerger
75+,509,685,1194,Adıyaman,Gerger
18-24,12441,13028,25469,Mersin,Yenişehir
25-29,8437,9192,17629,Mersin,Yenişehir
30-34,8732,9979,18711,Mersin,Yenişehir
35-39,9725,11207,20932,Mersin,Yenişehir
40-44,9110,10352,19462,Mersin,Yenişehir
45-49,8365,9074,17439,Mersin,Yenişehir
50-54,7671,8251,15922,Mersin,Yenişehir
55-59,6569,6803,13372,Mersin,Yenişehir
60-64,5379,5532,10911,Mersin,Yenişehir
65-69,3725,4084,7809,Mersin,Yenişehir
70-74,2419,2820,5239,Mersin,Yenişehir
75+,2636,3688,6324,Mersin,Yenişehir
18-24,454,486,940,Ardahan,Çıldır
25-29,305,267,572,Ardahan,Çıldır
30-34,292,266,558,Ardahan,Çıldır
35-39,348,264,612,Ardahan,Çıldır
40-44,340,268,608,Ardahan,Çıldır
45-49,289,277,566,Ardahan,Çıldır
50-54,303,259,562,Ardahan,Çıldır
55-59,302,264,566,Ardahan,Çıldır
60-64,223,240,463,Ardahan,Çıldır
65-69,202,238,440,Ardahan,Çıldır
70-74,215,227,442,Ardahan,Çıldır
75+,293,363,656,Ardahan,Çıldır
18-24,1005,1053,2058,Erzurum,Köprüköy
25-29,597,480,1077,Erzurum,Köprüköy
30-34,513,485,998,Erzurum,Köprüköy
35-39,498,527,1025,Erzurum,Köprüköy
40-44,475,402,877,Erzurum,Köprüköy
45-49,416,340,756,Erzurum,Köprüköy
50-54,317,294,611,Erzurum,Köprüköy
55-59,249,239,488,Erzurum,Köprüköy
60-64,209,247,456,Erzurum,Köprüköy
65-69,187,186,373,Erzurum,Köprüköy
70-74,115,191,306,Erzurum,Köprüköy
75+,177,261,438,Erzurum,Köprüköy
18-24,3256,3269,6525,Kocaeli,Dilovası
25-29,2385,2089,4474,Kocaeli,Dilovası
30-34,2006,1735,3741,Kocaeli,Dilovası
35-39,1956,1800,3756,Kocaeli,Dilovası
40-44,1537,1337,2874,Kocaeli,Dilovası
45-49,1348,1149,2497,Kocaeli,Dilovası
50-54,1095,985,2080,Kocaeli,Dilovası
55-59,895,788,1683,Kocaeli,Dilovası
60-64,640,629,1269,Kocaeli,Dilovası
65-69,396,490,886,Kocaeli,Dilovası
70-74,260,318,578,Kocaeli,Dilovası
75+,304,442,746,Kocaeli,Dilovası
18-24,4876,5083,9959,Manisa,Alaşehir
25-29,3145,3152,6297,Manisa,Alaşehir
30-34,3569,3637,7206,Manisa,Alaşehir
35-39,3873,3728,7601,Manisa,Alaşehir
40-44,3709,3498,7207,Manisa,Alaşehir
45-49,3627,3486,7113,Manisa,Alaşehir
50-54,3398,3471,6869,Manisa,Alaşehir
55-59,3385,3144,6529,Manisa,Alaşehir
60-64,2692,2756,5448,Manisa,Alaşehir
65-69,1983,2172,4155,Manisa,Alaşehir
70-74,1278,1628,2906,Manisa,Alaşehir
75+,1864,2673,4537,Manisa,Alaşehir
18-24,319,270,589,Erzincan,Kemah
25-29,227,115,342,Erzincan,Kemah
30-34,153,135,288,Erzincan,Kemah
35-39,163,108,271,Erzincan,Kemah
40-44,171,137,308,Erzincan,Kemah
45-49,168,131,299,Erzincan,Kemah
50-54,182,191,373,Erzincan,Kemah
55-59,279,268,547,Erzincan,Kemah
60-64,333,339,672,Erzincan,Kemah
65-69,311,333,644,Erzincan,Kemah
70-74,232,303,535,Erzincan,Kemah
75+,453,613,1066,Erzincan,Kemah
18-24,1242,1244,2486,Diyarbakır,Kocaköy
25-29,826,668,1494,Diyarbakır,Kocaköy
30-34,542,525,1067,Diyarbakır,Kocaköy
35-39,469,498,967,Diyarbakır,Kocaköy
40-44,373,413,786,Diyarbakır,Kocaköy
45-49,316,302,618,Diyarbakır,Kocaköy
50-54,302,284,586,Diyarbakır,Kocaköy
55-59,215,230,445,Diyarbakır,Kocaköy
60-64,185,176,361,Diyarbakır,Kocaköy
65-69,146,157,303,Diyarbakır,Kocaköy
70-74,102,133,235,Diyarbakır,Kocaköy
75+,141,237,378,Diyarbakır,Kocaköy
18-24,6259,5966,12225,Şırnak,Şırnak Merkez
25-29,6317,4085,10402,Şırnak,Şırnak Merkez
30-34,3573,2701,6274,Şırnak,Şırnak Merkez
35-39,2811,2707,5518,Şırnak,Şırnak Merkez
40-44,1634,1662,3296,Şırnak,Şırnak Merkez
45-49,1326,1183,2509,Şırnak,Şırnak Merkez
50-54,1229,1017,2246,Şırnak,Şırnak Merkez
55-59,750,633,1383,Şırnak,Şırnak Merkez
60-64,603,649,1252,Şırnak,Şırnak Merkez
65-69,356,531,887,Şırnak,Şırnak Merkez
70-74,267,403,670,Şırnak,Şırnak Merkez
75+,395,626,1021,Şırnak,Şırnak Merkez
18-24,1788,1905,3693,Yozgat,Sarıkaya
25-29,1088,1002,2090,Yozgat,Sarıkaya
30-34,1089,938,2027,Yozgat,Sarıkaya
35-39,1015,961,1976,Yozgat,Sarıkaya
40-44,884,929,1813,Yozgat,Sarıkaya
45-49,940,935,1875,Yozgat,Sarıkaya
50-54,951,1064,2015,Yozgat,Sarıkaya
55-59,995,921,1916,Yozgat,Sarıkaya
60-64,934,954,1888,Yozgat,Sarıkaya
65-69,757,905,1662,Yozgat,Sarıkaya
70-74,537,759,1296,Yozgat,Sarıkaya
75+,762,1063,1825,Yozgat,Sarıkaya
18-24,700,761,1461,Denizli,Serinhisar
25-29,424,436,860,Denizli,Serinhisar
30-34,446,440,886,Denizli,Serinhisar
35-39,532,467,999,Denizli,Serinhisar
40-44,487,479,966,Denizli,Serinhisar
45-49,503,465,968,Denizli,Serinhisar
50-54,512,445,957,Denizli,Serinhisar
55-59,446,452,898,Denizli,Serinhisar
60-64,364,394,758,Denizli,Serinhisar
65-69,348,399,747,Denizli,Serinhisar
70-74,222,341,563,Denizli,Serinhisar
75+,348,631,979,Denizli,Serinhisar
18-24,1550,1536,3086,Giresun,Tirebolu
25-29,859,861,1720,Giresun,Tirebolu
30-34,872,846,1718,Giresun,Tirebolu
35-39,920,962,1882,Giresun,Tirebolu
40-44,957,871,1828,Giresun,Tirebolu
45-49,1012,1002,2014,Giresun,Tirebolu
50-54,1140,1163,2303,Giresun,Tirebolu
55-59,1230,1077,2307,Giresun,Tirebolu
60-64,1204,1146,2350,Giresun,Tirebolu
65-69,797,789,1586,Giresun,Tirebolu
70-74,469,672,1141,Giresun,Tirebolu
75+,1014,1591,2605,Giresun,Tirebolu
18-24,1816,1871,3687,Düzce,Akçakoca
25-29,1120,1119,2239,Düzce,Akçakoca
30-34,1123,1190,2313,Düzce,Akçakoca
35-39,1315,1353,2668,Düzce,Akçakoca
40-44,1338,1361,2699,Düzce,Akçakoca
45-49,1415,1422,2837,Düzce,Akçakoca
50-54,1388,1461,2849,Düzce,Akçakoca
55-59,1360,1414,2774,Düzce,Akçakoca
60-64,1255,1169,2424,Düzce,Akçakoca
65-69,879,889,1768,Düzce,Akçakoca
70-74,602,679,1281,Düzce,Akçakoca
75+,769,1194,1963,Düzce,Akçakoca
18-24,383,361,744,Tunceli,Çemişgezek
25-29,294,239,533,Tunceli,Çemişgezek
30-34,295,254,549,Tunceli,Çemişgezek
35-39,293,240,533,Tunceli,Çemişgezek
40-44,290,222,512,Tunceli,Çemişgezek
45-49,264,223,487,Tunceli,Çemişgezek
50-54,207,252,459,Tunceli,Çemişgezek
55-59,214,221,435,Tunceli,Çemişgezek
60-64,213,237,450,Tunceli,Çemişgezek
65-69,195,212,407,Tunceli,Çemişgezek
70-74,128,175,303,Tunceli,Çemişgezek
75+,275,351,626,Tunceli,Çemişgezek
18-24,2672,2926,5598,Konya,Kulu
25-29,1709,1699,3408,Konya,Kulu
30-34,1795,1634,3429,Konya,Kulu
35-39,1692,1606,3298,Konya,Kulu
40-44,1371,1458,2829,Konya,Kulu
45-49,1341,1395,2736,Konya,Kulu
50-54,1334,1403,2737,Konya,Kulu
55-59,1326,1448,2774,Konya,Kulu
60-64,1207,1376,2583,Konya,Kulu
65-69,936,1134,2070,Konya,Kulu
70-74,598,760,1358,Konya,Kulu
75+,753,1209,1962,Konya,Kulu
18-24,4935,5430,10365,Manisa,Soma
25-29,3945,4301,8246,Manisa,Soma
30-34,4883,4670,9553,Manisa,Soma
35-39,5147,4797,9944,Manisa,Soma
40-44,4091,3862,7953,Manisa,Soma
45-49,3525,3613,7138,Manisa,Soma
50-54,3273,3430,6703,Manisa,Soma
55-59,3118,3071,6189,Manisa,Soma
60-64,2476,2314,4790,Manisa,Soma
65-69,1664,1714,3378,Manisa,Soma
70-74,1027,1238,2265,Manisa,Soma
75+,1336,1990,3326,Manisa,Soma
18-24,173,166,339,Amasya,Hamamözü
25-29,88,87,175,Amasya,Hamamözü
30-34,83,85,168,Amasya,Hamamözü
35-39,95,95,190,Amasya,Hamamözü
40-44,82,96,178,Amasya,Hamamözü
45-49,117,120,237,Amasya,Hamamözü
50-54,125,117,242,Amasya,Hamamözü
55-59,128,144,272,Amasya,Hamamözü
60-64,122,142,264,Amasya,Hamamözü
65-69,129,162,291,Amasya,Hamamözü
70-74,117,156,273,Amasya,Hamamözü
75+,214,234,448,Amasya,Hamamözü
18-24,548,469,1017,Elazığ,Maden
25-29,359,298,657,Elazığ,Maden
30-34,359,290,649,Elazığ,Maden
35-39,331,355,686,Elazığ,Maden
40-44,299,319,618,Elazığ,Maden
45-49,329,380,709,Elazığ,Maden
50-54,355,421,776,Elazığ,Maden
55-59,323,384,707,Elazığ,Maden
60-64,333,358,691,Elazığ,Maden
65-69,255,320,575,Elazığ,Maden
70-74,210,273,483,Elazığ,Maden
75+,403,462,865,Elazığ,Maden
18-24,1503,1389,2892,Iğdır,Tuzluca
25-29,876,732,1608,Iğdır,Tuzluca
30-34,748,646,1394,Iğdır,Tuzluca
35-39,813,743,1556,Iğdır,Tuzluca
40-44,623,570,1193,Iğdır,Tuzluca
45-49,550,474,1024,Iğdır,Tuzluca
50-54,478,461,939,Iğdır,Tuzluca
55-59,534,473,1007,Iğdır,Tuzluca
60-64,450,538,988,Iğdır,Tuzluca
65-69,382,426,808,Iğdır,Tuzluca
70-74,288,289,577,Iğdır,Tuzluca
75+,364,407,771,Iğdır,Tuzluca
18-24,1024,1134,2158,Gümüşhane,Şiran
25-29,599,553,1152,Gümüşhane,Şiran
30-34,595,488,1083,Gümüşhane,Şiran
35-39,618,543,1161,Gümüşhane,Şiran
40-44,635,570,1205,Gümüşhane,Şiran
45-49,553,537,1090,Gümüşhane,Şiran
50-54,546,544,1090,Gümüşhane,Şiran
55-59,574,564,1138,Gümüşhane,Şiran
60-64,620,614,1234,Gümüşhane,Şiran
65-69,462,509,971,Gümüşhane,Şiran
70-74,364,437,801,Gümüşhane,Şiran
75+,717,929,1646,Gümüşhane,Şiran
18-24,54690,56931,111621,Gaziantep,Şahinbey
25-29,34985,36127,71112,Gaziantep,Şahinbey
30-34,35868,34673,70541,Gaziantep,Şahinbey
35-39,34707,32895,67602,Gaziantep,Şahinbey
40-44,28569,27095,55664,Gaziantep,Şahinbey
45-49,22906,21669,44575,Gaziantep,Şahinbey
50-54,19304,18217,37521,Gaziantep,Şahinbey
55-59,14482,14658,29140,Gaziantep,Şahinbey
60-64,10337,10615,20952,Gaziantep,Şahinbey
65-69,7791,8357,16148,Gaziantep,Şahinbey
70-74,4916,5929,10845,Gaziantep,Şahinbey
75+,5323,8815,14138,Gaziantep,Şahinbey
18-24,2095,2214,4309,Siirt,Pervari
25-29,1149,993,2142,Siirt,Pervari
30-34,789,797,1586,Siirt,Pervari
35-39,661,771,1432,Siirt,Pervari
40-44,637,576,1213,Siirt,Pervari
45-49,535,519,1054,Siirt,Pervari
50-54,468,445,913,Siirt,Pervari
55-59,354,341,695,Siirt,Pervari
60-64,314,310,624,Siirt,Pervari
65-69,214,281,495,Siirt,Pervari
70-74,139,212,351,Siirt,Pervari
75+,196,309,505,Siirt,Pervari
18-24,1807,1749,3556,Konya,Kadınhanı
25-29,1074,963,2037,Konya,Kadınhanı
30-34,1055,913,1968,Konya,Kadınhanı
35-39,1020,964,1984,Konya,Kadınhanı
40-44,912,900,1812,Konya,Kadınhanı
45-49,1000,972,1972,Konya,Kadınhanı
50-54,941,1025,1966,Konya,Kadınhanı
55-59,879,910,1789,Konya,Kadınhanı
60-64,610,721,1331,Konya,Kadınhanı
65-69,615,682,1297,Konya,Kadınhanı
70-74,395,546,941,Konya,Kadınhanı
75+,501,717,1218,Konya,Kadınhanı
18-24,265,271,536,Malatya,Kale
25-29,116,139,255,Malatya,Kale
30-34,119,137,256,Malatya,Kale
35-39,163,152,315,Malatya,Kale
40-44,167,167,334,Malatya,Kale
45-49,137,175,312,Malatya,Kale
50-54,166,176,342,Malatya,Kale
55-59,202,201,403,Malatya,Kale
60-64,221,199,420,Malatya,Kale
65-69,160,205,365,Malatya,Kale
70-74,159,173,332,Malatya,Kale
75+,238,353,591,Malatya,Kale
18-24,12358,12452,24810,Kütahya,Kütahya Merkez
25-29,8856,8872,17728,Kütahya,Kütahya Merkez
30-34,9660,9765,19425,Kütahya,Kütahya Merkez
35-39,9896,10134,20030,Kütahya,Kütahya Merkez
40-44,9306,9715,19021,Kütahya,Kütahya Merkez
45-49,8302,8567,16869,Kütahya,Kütahya Merkez
50-54,7447,7518,14965,Kütahya,Kütahya Merkez
55-59,6895,7155,14050,Kütahya,Kütahya Merkez
60-64,5511,5559,11070,Kütahya,Kütahya Merkez
65-69,4304,4608,8912,Kütahya,Kütahya Merkez
70-74,2671,3265,5936,Kütahya,Kütahya Merkez
75+,3434,4826,8260,Kütahya,Kütahya Merkez
18-24,5435,5604,11039,Zonguldak,Zonguldak Merkez
25-29,3591,3687,7278,Zonguldak,Zonguldak Merkez
30-34,4177,4151,8328,Zonguldak,Zonguldak Merkez
35-39,4884,4840,9724,Zonguldak,Zonguldak Merkez
40-44,4429,4544,8973,Zonguldak,Zonguldak Merkez
45-49,4117,4285,8402,Zonguldak,Zonguldak Merkez
50-54,3865,4351,8216,Zonguldak,Zonguldak Merkez
55-59,4091,4333,8424,Zonguldak,Zonguldak Merkez
60-64,3600,3467,7067,Zonguldak,Zonguldak Merkez
65-69,2392,2459,4851,Zonguldak,Zonguldak Merkez
70-74,1393,1711,3104,Zonguldak,Zonguldak Merkez
75+,1793,3005,4798,Zonguldak,Zonguldak Merkez
18-24,319,283,602,Malatya,Arguvan
25-29,184,161,345,Malatya,Arguvan
30-34,171,159,330,Malatya,Arguvan
35-39,245,149,394,Malatya,Arguvan
40-44,215,193,408,Malatya,Arguvan
45-49,219,253,472,Malatya,Arguvan
50-54,288,229,517,Malatya,Arguvan
55-59,313,261,574,Malatya,Arguvan
60-64,266,273,539,Malatya,Arguvan
65-69,297,306,603,Malatya,Arguvan
70-74,237,314,551,Malatya,Arguvan
75+,416,632,1048,Malatya,Arguvan
18-24,1053,1102,2155,Ankara,Nallıhan
25-29,885,898,1783,Ankara,Nallıhan
30-34,1092,896,1988,Ankara,Nallıhan
35-39,1012,911,1923,Ankara,Nallıhan
40-44,883,821,1704,Ankara,Nallıhan
45-49,839,845,1684,Ankara,Nallıhan
50-54,864,878,1742,Ankara,Nallıhan
55-59,986,1141,2127,Ankara,Nallıhan
60-64,961,1030,1991,Ankara,Nallıhan
65-69,813,878,1691,Ankara,Nallıhan
70-74,579,707,1286,Ankara,Nallıhan
75+,1028,1480,2508,Ankara,Nallıhan
18-24,85,103,188,Sivas,Gölova
25-29,77,64,141,Sivas,Gölova
30-34,85,73,158,Sivas,Gölova
35-39,77,54,131,Sivas,Gölova
40-44,73,50,123,Sivas,Gölova
45-49,72,48,120,Sivas,Gölova
