age,male,female,all,city,district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ
45-49,532,535,1067,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
50-54,522,641,1163,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
55-59,705,720,1425,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
60-64,615,691,1306,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
65-69,587,631,1218,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
70-74,336,485,821,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
75+,459,724,1183,Afyonkarahisar,Sultandağı,48.0,12699.0,11355.0,10905.0,2951.0,886.0,65.0,69.0,222.0,4412.0,104.0,2090.0,59.0,47.0,0.0
18-24,3063,2975,6038,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
25-29,1744,1617,3361,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
30-34,1764,1534,3298,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
35-39,1681,1687,3368,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
40-44,1452,1477,2929,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
45-49,1553,1610,3163,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
50-54,1560,1423,2983,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
55-59,1288,1300,2588,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
