age,male,female,all,city,district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ
75+,409,626,1035,Düzce,Gölyaka,58.0,15551.0,14412.0,14072.0,8162.0,2044.0,23.0,33.0,50.0,2595.0,182.0,739.0,221.0,23.0,0.0
18-24,978,1140,2118,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
25-29,535,531,1066,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
30-34,515,510,1025,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
35-39,540,574,1114,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
40-44,547,608,1155,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
45-49,635,582,1217,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
50-54,582,627,1209,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
55-59,628,604,1232,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
60-64,610,617,1227,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
65-69,505,578,1083,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
70-74,403,434,837,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
75+,438,634,1072,Yozgat,Çekerek,70.0,14355.0,13119.0,12842.0,8099.0,2035.0,29.0,26.0,101.0,1427.0,199.0,739.0,167.0,20.0,0.0
18-24,1467,1477,2944,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
25-29,796,715,1511,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
30-34,546,487,1033,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
35-39,484,547,1031,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
40-44,454,499,953,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
45-49,450,393,843,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
50-54,343,349,692,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
55-59,249,288,537,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
60-64,237,305,542,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
65-69,250,340,590,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
70-74,230,300,530,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
75+,399,550,949,Batman,Gercüş,67.0,12155.0,10134.0,9724.0,3714.0,237.0,0.0,22.0,4148.0,147.0,438.0,142.0,36.0,11.0,829.0
18-24,3934,4240,8174,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
25-29,2516,2358,4874,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
30-34,2667,2484,5151,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
35-39,2555,2293,4848,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
40-44,2238,1996,4234,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
45-49,1898,1896,3794,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
50-54,1784,1633,3417,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
55-59,1424,1293,2717,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
60-64,1247,1173,2420,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
65-69,760,989,1749,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
70-74,704,740,1444,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
75+,920,1266,2186,Kahramanmaraş,Türkoğlu,150.0,45008.0,40720.0,39873.0,25342.0,5643.0,104.0,88.0,771.0,3018.0,1080.0,3286.0,513.0,28.0,0.0
18-24,2232,2103,4335,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
25-29,1410,1300,2710,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
30-34,1592,1483,3075,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
35-39,1657,1577,3234,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
40-44,1666,1569,3235,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
45-49,1550,1444,2994,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
50-54,1556,1452,3008,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
55-59,1514,1304,2818,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
60-64,1174,1228,2402,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
65-69,937,1046,1983,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
70-74,706,788,1494,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
75+,956,1417,2373,İzmir,Kiraz,119.0,33661.0,29455.0,27809.0,12065.0,2195.0,157.0,197.0,303.0,9048.0,286.0,3251.0,198.0,98.0,11.0
18-24,120,44,164,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
25-29,247,54,301,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
30-34,55,34,89,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
35-39,54,25,79,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
40-44,52,32,84,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
45-49,54,38,92,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
50-54,60,44,104,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
55-59,71,75,146,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
60-64,123,94,217,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
65-69,104,76,180,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
70-74,47,48,95,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
75+,70,95,165,Bingöl,Yayladere,21.0,1716.0,1310.0,1235.0,227.0,89.0,0.0,4.0,682.0,183.0,6.0,32.0,10.0,2.0,0.0
18-24,20149,21646,41795,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
25-29,14364,14952,29316,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
30-34,12374,11957,24331,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
35-39,11747,11726,23473,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
40-44,8122,8029,16151,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
45-49,6724,6186,12910,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
50-54,5798,5177,10975,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
55-59,4259,4248,8507,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
60-64,3117,3447,6564,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
65-69,2141,2480,4621,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
70-74,1342,1625,2967,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
75+,1583,2331,3914,Van,İpekyolu,522.0,185524.0,156586.0,151688.0,52834.0,4080.0,1698.0,184.0,85171.0,3970.0,1233.0,1633.0,647.0,87.0,151.0
18-24,810,789,1599,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
25-29,461,439,900,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
30-34,460,361,821,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
35-39,470,396,866,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
40-44,481,450,931,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
45-49,546,527,1073,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
50-54,533,563,1096,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
55-59,484,554,1038,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
60-64,492,530,1022,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
65-69,313,427,740,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
70-74,212,406,618,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
75+,366,778,1144,Trabzon,Tonya,45.0,11848.0,10503.0,9969.0,5396.0,730.0,29.0,31.0,204.0,2421.0,270.0,755.0,94.0,34.0,5.0
18-24,1934,1776,3710,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
25-29,984,906,1890,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
30-34,812,745,1557,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
35-39,769,747,1516,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
40-44,596,596,1192,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
45-49,488,492,980,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
50-54,526,421,947,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
55-59,435,396,831,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
60-64,416,437,853,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
65-69,244,326,570,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
70-74,203,280,483,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
75+,207,319,526,Erzurum,Tekman,85.0,15055.0,12307.0,11720.0,2699.0,168.0,57.0,74.0,8199.0,277.0,101.0,109.0,21.0,15.0,0.0
18-24,1152,1125,2277,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
25-29,785,706,1491,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
30-34,916,797,1713,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
35-39,967,806,1773,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
40-44,965,840,1805,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
45-49,999,947,1946,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
50-54,1099,1073,2172,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
55-59,1174,1104,2278,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
60-64,1048,985,2033,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
65-69,763,805,1568,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
70-74,550,590,1140,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
75+,719,1069,1788,Edirne,İpsala,74.0,21984.0,19661.0,18953.0,6475.0,916.0,78.0,63.0,199.0,8199.0,129.0,2736.0,99.0,49.0,10.0
18-24,232,262,494,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
25-29,146,126,272,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
30-34,157,114,271,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
35-39,141,117,258,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
40-44,160,141,301,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
45-49,177,203,380,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
50-54,188,203,391,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
55-59,259,260,519,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
60-64,309,330,639,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
65-69,257,331,588,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
70-74,203,260,463,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
75+,318,480,798,Bolu,Dörtdivan,34.0,5374.0,4947.0,4880.0,3336.0,971.0,13.0,13.0,6.0,198.0,49.0,228.0,62.0,4.0,0.0
18-24,2994,2838,5832,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
25-29,1775,1503,3278,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
30-34,1797,1585,3382,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
35-39,2060,1832,3892,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
40-44,2097,1917,4014,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
45-49,2318,2200,4518,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
50-54,2161,2187,4348,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
55-59,2061,2005,4066,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
60-64,1715,1838,3553,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
65-69,1324,1479,2803,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
70-74,1017,1181,2198,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
75+,1855,2199,4054,Muğla,Seydikemer,155.0,45938.0,40732.0,38958.0,18619.0,3271.0,187.0,190.0,515.0,8492.0,330.0,6944.0,314.0,96.0,0.0
18-24,245,224,469,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
25-29,165,127,292,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
30-34,148,114,262,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
35-39,126,90,216,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
40-44,118,109,227,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
45-49,97,136,233,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
50-54,141,152,293,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
55-59,157,152,309,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
60-64,146,170,316,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
65-69,130,104,234,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
70-74,82,93,175,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
75+,103,132,235,Osmaniye,Hasanbeyli,14.0,3261.0,2952.0,2867.0,1146.0,821.0,8.0,3.0,17.0,411.0,41.0,364.0,51.0,5.0,0.0
18-24,254,187,441,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
25-29,137,144,281,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
30-34,144,140,284,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
35-39,156,126,282,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
40-44,154,153,307,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
45-49,173,152,325,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
50-54,182,205,387,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
55-59,288,281,569,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
60-64,353,351,704,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
65-69,359,319,678,Kastamonu,Çatalzeytin,47.0,5530.0,4755.0,4543.0,2836.0,507.0,19.0,27.0,39.0,646.0,75.0,324.0,55.0,15.0,0.0
